"rank","artist_names","track_name","peak_rank","previous_rank","weeks_on_chart","streams","track_id","popularity","duration"
164,"Myles Smith","Stargazing",16,145,32,10065004,"3Vr3zh0r7ALn8VLqCiRR10",86,172533
165,"SZA","Saturn",17,148,37,10016597,"1bjeWoagtHmUKputLVyDxQ",81,186191
166,"Sabrina Carpenter","Juno",23,128,17,9984355,"21B4gaTWnTkuSh77iWEXdS",85,223192
167,"Harry Styles","As It Was",1,175,142,9957996,"4Dvkj6JhhA12EX05fT7y2e",86,167303
168,"Chino Pacas","Morena Canela",148,154,4,9915972,"0NsGFMIo2aNbAkJu48ndaf",84,178336
169,"Lil Tecca","Ransom",3,153,66,9900484,"1lOe9qE0vR9zwWQAOk6CoO",85,131240
170,"Bad Bunny, Feid","PERRO NEGRO",4,124,52,9870543,"7iQXYTyuG13aoeHxGG28Nh",84,162767
171,"Bruno Mars","Talking to the Moon",45,198,63,9819671,"161DnLWsx1i3u1JT05lzqU",82,217866
172,"The Marías","No One Noticed",114,156,6,9800083,"3siwsiaEoU4Kuuc9WKMUy5",87,236906
173,"OneRepublic","Counting Stars",86,181,192,9783965,"2tpWsVSb9UEmDRxAl1zhX1",85,257265
174,"Ed Sheeran","Perfect",4,180,377,9780531,"0tgVpDi06FyKpA1z0VMD4v",85,263400
175,"Ruth B.","Dandelions",34,168,163,9774985,"2eAvDnpXP5W0cVtiI0PUxV",85,233720
176,"Radiohead","Creep",110,176,56,9708850,"70LcF31zb1H0PyJoS1Sx1r",86,238640
177,"Juice WRLD","All Girls Are The Same",48,129,92,9690961,"4VXIryQMWpIdGgYR4TrjT1",84,165819
178,"Bruno Mars","When I Was Your Man",38,170,112,9531730,"0B7wvvmu9EISAwZnOpjhNI",51,213826
179,"Queen","Thank God It's Christmas - Non-Album Single",57,-1,12,9526565,"2xGO2UjzxeVQSIkyg98vck",69,261626
180,"Gene Autry","Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version",99,187,6,9522419,"25leEEaz1gIpp7o21Fqyjo",73,150266
181,"Lewis Capaldi","Someone You Loved",4,164,310,9488365,"7qEHsqek33rTcFNT9PFqLf",85,182160
182,"Taylor Swift","Christmas Tree Farm",84,-1,6,9459322,"2mvabkN1i2gLnGAPUVdwek",74,228026
183,"Conan Gray","Heather",12,139,157,9459220,"4xqrdfXkTW4T0RauPLv3WA",84,198040
184,"Journey","Don't Stop Believin' (2022 Remaster)",89,-1,40,9355563,"5RKQ5NdjSh2QzD4MaunT91",84,249600
185,"The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)",1,-1,170,9320207,"567e29TDzLwZwfDuEpGTwo",81,141805
186,"Daniel Caesar, H.E.R.","Best Part (feat. H.E.R.)",110,188,27,9294763,"1RMJOxR6GRPsBHL8qeC2ux",84,209831
187,"Linkin Park","Heavy Is the Crown",15,172,13,9279588,"2HBBM75Xv3o2Mqdyh1NcM0",80,167012
188,"Hozier","Take Me To Church",108,-1,170,9253141,"3dYD57lRAUcMHufyqn9GcI",82,241688
189,"Addison Rae","Diet Pepsi",32,182,16,9252848,"6MzofobZt2dm0Kf1hTThFz",84,169697
190,"Tyla","Water",12,-1,56,9235144,"5aIVCx5tnk0ntmdiinnYvw",84,200255
191,"Burl Ives","Rudolph The Red-Nosed Reindeer",122,-1,3,9233564,"0f5slGJQq4iafoxngc95h1",59,130226
192,"V, Bing Crosby","White Christmas (with V of BTS)",55,55,2,9159935,"7134tEHq45eL6am9oVazZU",78,173033
193,"Richy Mitch & The Coal Miners","Evergreen",40,-1,43,9155714,"6me7F0aaZjwDo6RJ5MrfBD",83,87000
194,"TV Girl","Lovers Rock",100,186,78,9106333,"6dBUzqjtbnIa1TwYbyw5CM",85,213920
195,"Keane","Somewhere Only We Know",80,-1,109,9087426,"0ll8uFnc0nANY35E0Lfxvg",75,236160
196,"XXXTENTACION","Revenge",63,151,74,9069873,"5TXDeTFVRVY7Cvt0Dw4vWW",83,120026
197,"Junior H","ROCKSTAR",96,-1,9,9051318,"6YOfGIE6iFxC7G8OlGGvzW",83,168677
198,"The Weeknd, Anitta","São Paulo (feat. Anitta)",13,-1,5,8989800,"0xGQTpN4ESETtl1Sp6rzd2",84,301623
199,"Travis Scott","HIGHEST IN THE ROOM",1,-1,108,8954659,"3eekarcy7kvN4yt5ZFzltW",84,175720
200,"Ariana Grande, Cynthia Erivo","What Is This Feeling?",107,166,4,8918641,"7eGuPhpdS8sBjPJNuAShUX",82,228947
